YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-12,WEEKDAY,6,TRAIN,BP12,6507,566
2025-12,WEEKENDS/HOLIDAY,16,TRAIN,CC19/DT9,4138,3960
2025-12,WEEKDAY,8,TRAIN,EW10,29760,12714
2025-12,WEEKENDS/HOLIDAY,21,TRAIN,TE19,1631,1024
2025-12,WEEKDAY,12,TRAIN,DT29,6793,3787
2025-12,WEEKENDS/HOLIDAY,8,TRAIN,EW33,3124,2582
2025-12,WEEKENDS/HOLIDAY,15,TRAIN,DT23,1471,1531
2025-12,WEEKDAY,19,TRAIN,PE3,4834,12895
2025-12,WEEKENDS/HOLIDAY,15,TRAIN,PW2,131,87
2025-12,WEEKDAY,8,TRAIN,TE5,16645,8665
2025-12,WEEKENDS/HOLIDAY,10,TRAIN,TE7,3236,1860
2025-12,WEEKENDS/HOLIDAY,21,TRAIN,TE8,4438,3171
2025-12,WEEKENDS/HOLIDAY,21,TRAIN,CC5,1979,1610
2025-12,WEEKENDS/HOLIDAY,19,TRAIN,TE29,1434,1982
2025-12,WEEKDAY,5,TRAIN,CC16,999,175
